tab,question,answer
CHANNELS,Are the channels subscription auto-renewable?,Yes. Your preferred method of payment will be charged automatically with each billing cycle
CHANNELS,How to deactivate a channel subscription?,"From Settings > Channels > Select the channel you want to deactivate and click ""Deactivate subscription"""
CHANNELS,How do I browse a specific channel's content?,Click on the channel you'd like to browse from channels sections on the home page
CHANNELS,If I'm subscribed to more than one subscription will I be charged on the same day for these subscriptions?,You will be charged separately for each subscription on the renewal day of that subscription
ABOUT YOUR DEVICE,On which devices can I watch STARZPLAY?,"Apple mobiles and tablets - Running iOS v10.0 and later
Apple TV 4th generation
Android devices - Running v4.3 and later
Android TV with Play Store Version 11.7.11-xhdpi and above
Samsung smartTV - Running operating system Tizen (2016 models and later)
LG Smart TV - Running WebOS4.0 and later
Playstation PS4
Web Browsers: Chrome, Firefox, Safari, Explorer
Chromecast"
ABOUT YOUR DEVICE,Can I watch STARZPLAY on all Samsung smartTVs?,We currently support 2016 and later models running TizenOS.
ABOUT YOUR DEVICE,How will I know if my internet connection is fast enough?,You can check your internet speed at speedtest.net - we recommend a minimum internet speed of 0.4 Mbps.
ABOUT YOUR DEVICE,How do I watch on my iOS device?,"You will need to download the app from the App store. Here's a 3-step simple guide:
Search for STARZPLAY on the App store
Tap Get to download
Click on install
If you aren't a subscriber you'll need to sign up either through the app directly or you could log on to starzplay.com from your web browser."
ABOUT YOUR DEVICE,Can I limit how much data I use when watching STARZPLAY on my iOS device?,"You can't set a mobile data limit on STARZPLAY to a specific cap, but you can stop iOS using mobile data to watch STARZPLAY.
Go to Settings
Select Cellular (sometimes called Mobile)
Switch the STARZPLAY toggle to Off
Now STARZPLAY will only use WiFi and not mobile data to connect."
ABOUT YOUR DEVICE,Can I limit how much data I use when watching STARZPLAY on my Android device?,"Android devices will let you set an alert so you can monitor your overall data use.
Go to Settings>Connections>Data Usage>Set Mobile Data Limit
Click on Data Usage Cycle
Set the cycle to match your data billing period
Now set the limit at which you would like to receive a data usage notification"
ABOUT YOUR DEVICE,Can I watch if I connect my mobile to to my TV with an HDMI cable?,"We don't support HDMI cables, sorry. If you want to watch on the big screen then you can cast using AirPlay (iOS) or Chromecast - but for the best experience, try a Samsung smartTV."
ABOUT YOUR DEVICE,Do you support the Android TV box?,We support Android TV with Play Store Version 11.7.11-xhdpi and above.
ABOUT YOUR DEVICE,"""It appears that the device is running an unoriginal firmware (a rooted device), which is not supported by our application. Please use another device"". Why am I receiving this message?","This usually happens when a device is running a non-standard operating system or the firmware has been modified. If this is the case, you'll need to reset your device to factory settings to be able to run our app."
ABOUT YOUR DEVICE,How do I watch STARZPLAY on my Samsung SmartTV?,"If the app is not already preloaded, you'll need to download it.
Press the Smart Hub button on your remote and open Apps
Search for STARZPLAY
Hit Enter to download
Now just open the app, login (if you aren't subscribed yet please do this from your browser) and start streaming."
ABOUT YOUR DEVICE,How do I clear my Android app cache?,Open Settings>Application>Application Manager>STARZPLAY>Storage. Now tap Clear Cache.
ABOUT YOUR DEVICE,How do I clear my browser's cache?,"To clear your browser cache, please follow the steps below:
Chrome
From the Chrome menu, select More Tools>Clear Browsing Data.
Select the data you want to remove, and the timeframe.
Click Clear Browsing Data.
Safari
From the Safari menu, select Preferences>Privacy>Remove All Website Data.
Confirm by clicking Remove Now.
Firefox
From the Firefox menu, select Preferences>Advanced>Network>Cached Web Content.
Click Clear Now.
Internet Explorer
From the gear icon, select Tools>Safety>Delete Browsing History.
Uncheck Preserve Favorites and select both Temporary Internet Files and Cookies.
Click Delete."
ABOUT YOUR DEVICE,How do I know which iOS version my device is running?,Open Settings>General>About.
ABOUT YOUR DEVICE,How do I know which browser version I have?,"Safari
From the Safari menu, select About Safari.
Chrome
From the Chrome menu, select Customize & Control Google Chrome>About Google Chrome.
Firefox
From the Firefox menu, select About Firefox.
Internet Explorer:
From the Settings menu, select About Internet Explorer."
ABOUT YOUR DEVICE,An error message says I've exceeded the maximum number of devices. What can I do?,"You can login to STARZPLAY on as many devices as you like, but as soon as you play content it will count as a registered device. You can have up to five devices registered at any time - any more and you'll see an error message. You can remove one device every 30 days."
ABOUT YOUR DEVICE,Why can't I find STARZPLAY on my PlayStation?,"STARZPLAY is currently only available on the PlayStation Store in Bahrain, Kuwait, Lebanon, Oman, Qatar, KSA and UAE, and will not be visible to PSN accounts registered outside of these countries. To view STARZPLAY, create a new PSN account for your local country and search the store again."
ABOUT YOUR DEVICE,How do I watch on my Android device?,"You will need to download the app from the Play Store. Here's a 3-step simple guide:
Search for STARZPLAY on Play Store
Tap download
Click on install
If you aren't already a subscriber you'll need to sign up either through the app directly or you could log on to starzplay.com from your web browser."
ABOUT YOUR DEVICE,How do I watch on my PlayStation?,"Make sure you are signed into your local country PSN account. From the home screen, open TV & Videos and search for STARZPLAY. As soon as the download is complete you can open the app and login or sign up."
ABOUT YOUR DEVICE,Which browsers can I use to watch STARZPLAY?,"We support Chrome, Safari, Firefox, Edge and Internet Explorer. However if you try to access STARZPLAY from a mobile browser we'll direct you to open or install the app instead."
ABOUT YOUR DEVICE,How often can I delete a registered device?,"You can have up to 5 devices registered to your account at any one time, and can remove one device every 30 days."
ABOUT YOUR DEVICE,I received a STARZPLAY voucher with my new Samsung smartTV. How do I use it?,"Switch on your Samsung smartTV and launch the STARZPLAY app. It will display a screen that gives you more details about the offer. You can sign up on from this screen, or login if you are an existing subscriber. Then just follow the onscreen instructions to activate your free subscription.
If you would rather do this later, open Settings and select E-Voucher to continue. You can also activate the voucher directly at starzplay.com/samsung."
ABOUT YOUR DEVICE,How do I find out which Android operating system version my device runs?,"Open the Settings menu
Click on About Phone
Click on Software Information
Check your Android version"
ABOUT YOUR DEVICE,How do I connect a device?,"On mobiles, tablets, smart TVs and PlayStation, you'll need to download the STARZPLAY app in order to connect. If you want to watch on your PC or Mac then you can connect directly by typing starzplay.com into your browser.
You can login to STARZPLAY on as many devices as you like, but as soon as you play content it will count as a registered device."
ABOUT STARZ PLAY,How will I know when you’ve released new content?,"Believe us, you'll know! We'll be going on about it constantly on our social media, and if you've subscribed to our emails or push notifications then we'll be telling you about it there too. And it'll be all over our platform as well. It's everywhere!"
ABOUT STARZ PLAY,In which countries can I watch STARZPLAY?,"Made in MENA, for MENA, we are available to watch in: Algeria; Bahrain; Djibouti; Egypt; Iraq; Jordan; Kuwait; Lebanon; Libya; Mauritania; Morocco; Oman; Palestine; Qatar; Saudi Arabia; South Sudan; Tunisia; United Arab Emirates; Yemen."
ABOUT STARZ PLAY,What languages does STARZPLAY offer?,"You're multi-lingual, as are we - so you can choose to view our platform in English, Arabic or French. Want to watch in your mother tongue? All English-language content features one-click Arabic subtitling plus Arabic and French audio options."
ABOUT STARZ PLAY,What will I get when I subscribe to STARZPLAY?,"We’ve got everything you could ever want, from Hollywood movies and same-time-as-the-US series, to kids entertainment and dedicated Arabic content. We add new titles all the time, and because we're proudly 'Made in MENA' all our content has Arabic subtitling plus Arabic and French audio options. Not convinced? Then give our 7-day free trial a go!"
ABOUT STARZ PLAY,What is STARZPLAY?,"Proudly ‘Made in MENA’, we’re a streaming video service that always puts you first. Hollywood movies with Arabic and French subtitles and audio? Check. Same-time-as-the-US series? Yep, loads. Arabic movies and TV shows? For sure! Kids entertainment? A peace-and-quiet guaranteeing YES! We also have exclusive STARZ Original content and a brand-new STARZPLAY Original series, just for you."
ABOUT STARZ PLAY,Does STARZPLAY stream HD and 4K content?,"Yep! We stream full HD as standard. We do have 4K titles but right now you can only watch these on your Samsung smartTV because we figure 4K on a mobile screen is a waste of good WiFi.
If you own a vintage device or your internet speed has taken a beating, our superhero technology will come to the rescue by automatically pumping out a lower quality stream. But if you like buffering, you can switch this off."
ABOUT STARZ PLAY,What can I watch on STARZPLAY?,"Everything you’d expect… and a lot more. We’ve got the usual suspects – Hollywood movies, same-time-as-the-US series, classic box sets, and amazing kids entertainment. We’ve also got all the Arabic content you could ever want – and if VIP is your thing, check out our exclusive STARZ Original content plus a STARZPLAY Original series. But that’s not all. Indulge your inner geek with our documentaries, brush up on your cosplay ideas with our anime, or go full-on couch potato with our cookery shows."
STREAMING,Can I pause something on one device and resume it on another?,"Yep, no problem. You can play, pause, and continue watching on any other device."
STREAMING,Can I download any title?,"Not all content is available for download as it is dependent on licensing agreements. If a title can be downloaded, there will be a download icon on the content details page."
STREAMING,Can I download the same asset multiple times?,"Yes but if you tap the Renew icon you can extend the expiry date without needing to re-download the content. Less time downloading, more time watching!"
STREAMING,How many downloads can I have?,You can store up to ten downloads at a time.
STREAMING,Does STARZPLAY stream HD and 4K content?,"Yep! We stream full HD as standard. We do have 4K titles but right now you can only watch these on your Samsung smartTV because we figure 4K on a mobile screen is a waste of good WiFi.
If you own a vintage device or your internet speed has taken a beating, our superhero technology will come to the rescue by automatically pumping out a lower quality stream. But if you like buffering, you can switch this off."
STREAMING,On which devices can I download titles?,At present you can download content to mobile and tablet devices.
STREAMING,How do I manage my downloaded titles?,"Just go to My Downloads where you can see what you've downloaded, expiry dates and more."
STREAMING,Can I reduce the size of my downloads?,If space is an issue then you can download content at a lower streaming quality. Just go to Settings > Downloads > Video Download Quality to set your default.
STREAMING,Can I stream on two devices at once?,"Yes - we call it double vision as you can watch two streams at any one time, as standard."
STREAMING,Do downloads expire?,"Yes.
Each download expires after 30 days, but if you want to extend this period just tap Renew.
Note: If you watch the downloaded title, it will expire after 1 day."
STREAMING,Do I need a high-speed internet connection?,"We've got some cool technology that matches streaming quality to your device capability and internet speed, so you can watch with just 0.4Mbps. But for the best viewing experience, we recommend 0.4Mbps."
STREAMING,Do parental controls apply on downloaded titles?,"Yes, your selected Parental Control setting will apply to the downloaded titles."
STREAMING,Do you release new episodes and series the same time as the US?,"Yes we do and it's one of the best things about working at STARZPLAY! A little explanation however… We release new content at the same time as the US but because we operate in a different timezone to the US, we often air new content on the following day. So if a new episode premieres in the US at 10pm on May 4th, it's already May 5th in MENA."
STREAMING,What happens to my downloads if I logout or delete the app?,"Downloads will automatically self destruct… no no no, self DELETE… if you logout or delete the app. So beware."
STREAMING,Is there a limit to how many devices I can watch on?,"You can have up to 5 devices registered to your account at any one time, and can remove/replace one device every 30 days."
STREAMING,Can I download the same title on multiple devices?,Yes you can - you can download the same title on 2 different devices
STREAMING,How much data does streaming use?,"Our tech team could write pages about this but the short answer is it depends on how long the content is, and what quality stream your device is receiving. If you're worried about using too much data we suggest setting a data cap on your device or use WiFi."
STREAMING,How do I download a title?,On the content details page you'll see a download icon. Just tap this and away you go!
STREAMING,How do I change the subtitle language while I am watching?,"This depends on your device. There will either be an on-screen language icon you can select, or you will need to go into the player Settings to make the change."
STREAMING,"The video player says ""Sorry, unfortunately our service is not available in your country"". Why?","We stream content to 19 countries across the MENA region. If you are accessing our service from outside these locations, our content will not be available."
STREAMING,Do I have to download titles on a WiFi connection only?,"The default setting is to download over WiFi only, but if you're rolling in data then feel free to make the change."
STREAMING,Can I download content to an SD card?,"No, downloads can only be held in your device's local storage."
STREAMING,What languages do you have?,"You're multi-lingual, as are we - so you can choose to view our platform in English, Arabic or French. Want to watch in your mother tongue? All English-language content features one-click Arabic subtitling plus Arabic and French audio options."
STREAMING,Is all your content subtitled?,All English-language content has Arabic subtitles which can be switched on and off as you please. Selected content is also available with optional English Closed Captions.
